Sample,TechnicalReplicates,BiologicalReplicate,SequencingDate,Sample_orig,SpeciesCode,Site,CollectionDate,Wt_g,TL_cm,SL_cm,FL_cm,Intest_Wt_g,Liver_Wt_g,Gonad_Wt_g,Gonad_MF,StCtns_Wt_g,Fatty
ACNF029B,ACNF029B,ACNF029,9.3.19,ACNF030_9.6.19_dupACNF029_31,ACNF,Laie_OAH,8/17/16,44.67,12,9.4,11.1,6.88,NA,NA,NA,0.6,N
ACNF029C,ACNF029C,ACNF029,9.3.19,ACNF031_9.6.19_dupACNF029_30,ACNF,Laie_OAH,8/17/16,44.67,12,9.4,11.1,6.88,NA,NA,NA,0.6,N
ACNF032,ACNF032,ACNF032,9.3.19,ACNF032_9.6.19,ACNF,Laie_OAH,8/17/16,55.24,15.6,11.2,13.1,4.81,0.31,0.13,M,0.28,N
ACNF033,ACNF033,ACNF033,9.3.19,ACNF033_9.6.19,ACNF,Laie_OAH,8/17/16,90.16,16.9,12.6,14.3,9.86,0.65,2.63,F,0.29,N
ACNF034,ACNF034,ACNF034,8.23.19,ACNF034_8.19,ACNF,Laie_OAH,8/17/16,63.74,15.6,11.4,13.3,6.43,0.8,0.05,NA,0.24,Y
ACNF035A,ACNF035A,ACNF035,9.3.19,ACNF035_9.6.19_dupACNF036,ACNF,Laie_OAH,8/17/16,70.9,15.9,11.6,13.4,6.57,0.34,3.64,F,0.44,N
ACNF035B,ACNF035B,ACNF035,9.3.19,ACNF036_9.6.19_dupACNF035,ACNF,Laie_OAH,8/17/16,70.9,15.9,11.6,13.4,6.57,0.34,3.64,F,0.44,N
ACNF037,ACNF037,ACNF037,9.3.19,ACNF037_9.6.19,ACNF,Laie_OAH,8/17/16,63.33,15.5,12.1,13.6,7.9,0.32,1.49,M,0.28,N
ACNF038A,ACNF038A,ACNF038,9.3.19,ACNF038_9.6.19_dupACNF039,ACNF,Laie_OAH,8/17/16,70.26,15.8,11.6,13.1,7.81,0.81,1.09,M,0.47,N
ACNF038B,ACNF038B,ACNF038,9.3.19,ACNF039_9.6.19_dupACNF038,ACNF,Laie_OAH,8/17/16,70.26,15.8,11.6,13.1,7.81,0.81,1.09,M,0.47,N
ACNF040,ACNF040,ACNF040,11.17,NF40_11.17,ACNF,ChinaWalls_OAH,11/8/16,62.26,15.1,11.3,13,4.7,0.31,0.15,M,0.21,N
ACNF041,ACNF041,ACNF041,9.3.19,ACNF041_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,49.92,15,11,12.9,4.44,0.13,NA,NA,0.13,N
ACNF042,ACNF042,ACNF042,9.3.19,ACNF042_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,57.94,15.5,11,13.8,3.96,0.65,0.07,?,0.22,N
