TechnicalReplicates,Sample,BiologicalReplicate,SequencingDate,Sample_orig,SpeciesCode,Site,CollectionDate,Wt_g,TL_cm,SL_cm,FL_cm,Intest_Wt_g,Liver_Wt_g,Gonad_Wt_g,Gonad_MF,StCtns_Wt_g,Fatty,Notes,adiv,simp
ACTR011,ACTR011,ACTR011,9.3.19,ACTR011_S75_9.6.19,ACTR,Kakaako_OAH,10/23/16,94.27,15.9,12.7,14.7,12.11,0.98,0.21,NA,0.81,N,"<24 hrs in fridge, took subset of stomach contents for exctraction",43,0.793626581
ACTR014,ACTR014,ACTR014,9.3.19,ACTR014_S78_9.6.19,ACTR,Kakaako_OAH,10/23/16,103.63,16,13.3,15.8,12.32,0.7,0.29,NA,0.06*,Y,"<24 hrs in fridge, lots of nematodes, intestines very black - R9B in notes from lab but R10B (bigger fish) in notes from dissections so R9B may be R10B in reality",35,0.749442924
ACTR015,ACTR015,ACTR015,9.3.19,ACTR015_S68_9.6.19,ACTR,Kakaako_OAH,10/23/16,135.48,16.4,13.8,16,16.59,1.67,0.93,NA,0.82,Y,<24 hrs in fridge- R9B in notes from lab but R10B (bigger fish) in notes from dissections so R9B may be R10B in reality,37,0.796301529
ACTR025A,ACTR025A,ACTR025,8.23.19,ACTR025A_S180_8.19,ACTR,KahanaBay_OAH,7/21/15,105.34,17.4,12.9,16.2,16.04,1.24,0.66,F,1.18,N,"frozen, may have gotten some small intestine",49,0.802832046
ACTR029B,ACTR029B.dup1,ACTR029,9.3.19,ACTR030_S146_9.6.19_dupACTR029_31,ACTR,KahanaBay_OAH,7/21/15,127.68,18.1,13.4,17.1,18.21,1.29,0.94,M,1.82,N,"frozen, may have gotten some small intestine",56,0.803965628
ACTR032B,ACTR032B.dup1,ACTR032,9.3.19,ACTR033_S141_9.6.19_dupACTR032,ACTR,KahanaBay_OAH,7/21/15,75.8,14.7,10.4,13.6,10.25,0.84,0.76,F,0.61,N,frozen,45,0.717260249
ACTR034A,ACTR034A.dup1,ACTR034,9.3.19,ACTR034_S59_9.6.19_dupACTR035_36,ACTR,KahanaBay_OAH,7/21/15,137.42,18.8,13.9,17.4,19.68,1.09,0.6,M,0.66,N,frozen,48,0.84197593
ACTR037C,ACTR037C,ACTR037,9.3.19,ACTR039_S158_9.6.19_dupACTR037_38,ACTR,KahanaBay_OAH,7/21/15,120.18,18.1,13.5,17,17.92,1.04,0.95,M,1.57,N,frozen,52,0.822792965
ACTR039C,ACTR039C.dup2,ACTR039,9.3.19,ACTR031.2_S137_9.6.19_dupACTR029_30,ACTR,KahanaBay_OAH,7/21/15,127.68,18.1,13.4,17.1,18.21,1.29,0.94,M,1.82,N,"frozen, may have gotten some small intestine",50,0.833219921
ACTR040C,ACTR040C,ACTR040,11.17,TR42_15ul_11.17_dupACTR040_41,ACTR,KahanaBay_OAH,7/21/15,92.78,16.5,12.2,15.3,11.52,0.8,0.85,M,0.78,N,frozen,43,0.832105122
ACTR043B,ACTR043B,ACTR043,9.3.19,ACTR044_S107_9.6.19_dupACTR43,ACTR,KahanaBay_OAH,7/21/15,61.92,14.5,10.6,13.6,5.71,0.43,0.13,?,0.47,N,frozen,41,0.85014182
ACTR045B,ACTR045B,ACTR045,9.3.19,ACTR046_S40_9.6.19_dupACTR045_47,ACTR,KahanaBay_OAH,7/21/15,106.84,16.6,12.4,15.9,14.56,0.76,1.55,M,0.85,N,frozen,46,0.776792092
ACTR048A,ACTR048A,ACTR048,9.3.19,ACTR048_S90_9.6.19_dupACTR049,ACTR,KahanaBay_OAH,7/21/15,53.35,13.6,9.4,12.4,6.79,0.42,0.99,F,0.59,N,frozen,47,0.783426
ACTR050A,ACTR050A,ACTR050,9.3.19,ACTR050_S50_9.6.19_dupACTR051_52,ACTR,KahanaBay_OAH,7/21/15,107.92,17.7,13,16.9,16.61,0.74,1.58,M,1.35,N,"frozen, took 3 samples from a homogenized subset",54,0.800306147
ACTR053B,ACTR053B,ACTR053,9.3.19,ACTR054_S161_9.6.19_dupACTR053_55,ACTR,KahanaBay_OAH,7/21/15,128.1,19.6,15,18.8,19.51,0.82,NA,NA,0.85,N,frozen,46,0.772670263
ACTR056A,ACTR056A,ACTR056,8.23.19,ACTR056_S183_8.19_dupACTR057_58,ACTR,KahanaBay_OAH,7/21/15,111.49,17.2,12.8,16,14.32,0.38,1.15,M,1.02,N,"frozen, liquid liver",49,0.869637324
ACTR059A,ACTR059A,ACTR059,8.23.19,ACTR059_S184_8.19_dupACTR060_61,ACTR,KahanaBay_OAH,7/21/15,73.78,15.3,11.5,14.4,9.27,0.58,1.03,M,0.77,N,frozen,41,0.844829401
ACTR062,ACTR062,ACTR062,9.3.19,ACTR062_S48_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,101.97,16,12,15.1,6.78,NA,0.13,M,0.18,Y,"frozen, body shot ",34,0.817711398
ACTR063,ACTR063,ACTR063,9.3.19,ACTR063_S49_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,104.33,15.5,12.3,14.8,11.03,1.61,0.37,M,1.04,Y,frozen,29,0.773699482
